rank,registration number,title,study type,study phase,source of funding,funded (original),technology approach,application setting,application of a digital placebo,purpose of intervention,medical specialty (ICD-11),target Disease / conditions,study design,study purpose,registered,duration_month,arm,sample size,implementation site_1,implementation site_1_location,implementation site_2,implementation site_2_location,implementation site_3,implementation site_3_location,implementation site_4,implementation site_4_location,implementation site_5,implementation site_5_location,implementation site_6,implementation site_6_location,implementation site_7,implementation site_7_location,implementation site_8,implementation site_8_location,implementation site_9,implementation site_9_location,implementation site_10,implementation site_10_location,recruitment status,age_min,age_max,sex,randomization,randomization_method,masking,masking (original)
1,ChiCTR2400086003,Effect of clinical application based on remote monitoring platform on follow-up compliance of neonatal jaundice and detection rate of hyperbilirubinemia,Observational,Phase 1,self-fund,自筹,Adjunctive,Non-hospital,No,Management,Factors influencing health status or contact with health services,Neonatal jaundice，Neonatal hyperbilirubinemia，,factorial assignment,分析基于远程监测平台的临床应用对新生儿黄疸随访依从性和高胆红素血症检出率的影响  ,2024,6.3,2,88,中国人民解放军陆军军医大学第一附属医院 ,重庆市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,0,1,All,NP,None,Open label,开放标签
2,ChiCTR2400085683,Effects of tele-comprehensive corrective exercise in patients with adolescent idiopathic scoliosis,Interventional,NP,hospital/university,四川大学华西医院,Fully-automated,Non-hospital,No,Treatment,Diseases of the musculoskeletal system or connective tissue,Adolescent idiopathic scoliosis,Parallel Assignment,探究远程综合治疗性运动在青少年特发性脊柱侧凸患者中的治疗效果  ,2024,25.33333333,2,34,四川大学华西医院 ,四川省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,10,16,All,randomized-NP,"Participants who met the inclusion criteria and did not meet the exclusion criteria were selected, and the participants were randomly assigned 1:1 to the test group and the control group based on a random sequence generated by computer software using complete randomization by an independent statistical analyst who was not involved in the intervention process",single(outcomes assessor),本研究仅可对结局指标评估者及统计分析者实施盲法
3,ChiCTR2400085266,The Impact of Internet-Based Remote Rehabilitation Strategies on Hip Function After Total Hip Arthroplasty: A Prospective Randomized Controlled Trial:,Interventional,Phase 1,self-fund,自筹,Guided,Non-hospital,No,Management,Diseases of the musculoskeletal system or connective tissue,Hip Osteoarthritis,Parallel Assignment,主要目的：探究基于互联网的远程康复策略对THA术后疼痛与关节功能的影响，并将其与传统康复策略进行对比。 次要目的：为THA患者术后实施基于互联网的居家康复提供科学依据。  ,2024,40.53333333,2,70,四川大学华西医院 ,四川省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,40,80,All,randomized-NP,Investigator 1 randomly assigned involved population into two study groups using a computer-based Research Randomizer (www.randomizer.org),single(outcomes assessor),对指导研究参与者术后康复训练的研究者、进行结局指标评估的研究者、进行统计学分析的研究者进行设盲
4,ChiCTR2400085048,"Homogenization of the effectiveness of the ""in-person remote"" diabetes self-management support model for the comprehensive management of patients with type 2 diabetes mellitus: a national multicenter real-world retrospective study",Observational,Phase 4,self-fund,自筹,Fully-automated,Non-hospital,No,Management,"Endocrine, nutritional or metabolic diseases",Type 2 Diabetes Mellitus,factorial assignment,主要目的：  通过在全国范围内多家三级医疗中心开展“面对面-远程”糖尿病共同照护管理，评价2型糖尿病患者在接受管理1年时的血糖、血压、血脂同时达标率在不同地区间是否存在差异 次要目的：  通过在同一地区的多家医疗中心开展“面对面-远程”糖尿病共同照护管理，评价2型糖尿病患者在接受管理1年时的血糖、血压、血脂同时达标率在同一地区的不同医疗层级间是否存在差异  以在全国范围内多家医疗中心开展的“面对面-远程”糖尿病共同照护管理队列数据，分析2型糖尿病患者并发症及共病现状  以在全国范围内多家医疗中心开展的“面对面-远程”糖尿病共同照护管理队列数据，分析2型糖尿病患者诊疗方案的规范性  通过在全国范围内多家医疗中心开展“面对面-远程”糖尿病共同照护管理，探索影响2型糖尿病患者血糖、血压、血脂达标率的因素  通过在全国范围内多家医疗中心开展“面对面-远程”糖尿病共同照护管理，分析“面对面”规范复诊对2型糖尿病患者代谢控制的作用  通过在全国范围内多家医疗中心开展“面对面-远程”糖尿病共同照护管理，分析远程管理对2型糖尿病患者代谢控制的作用  通过在全国范围内多家医疗中心开展“面对面-远程”糖尿病共同照护管理，探索血糖自我监测行为对2型糖尿病患者血糖控制的作用  以在全国范围内多家医疗中心开展的“面对面-远程”糖尿病共同照护管理队列数据，分析2型糖尿病患者胰岛素治疗方案现状及不同胰岛素方案在血糖控制方面的差异  以在全国范围内多家医疗中心开展的“面对面-远程”糖尿病共同照护管理队列数据，探索2型糖尿病患者自我管理能力、心理及生活质量在疾病控制中的作用  以在全国范围内多家医疗中心开展的“面对面-远程”糖尿病共同照护管理队列数据，探索治疗依从性/治疗惰性对2型糖尿病患者代谢控制的影响,2024,7.1,1,50000,北京大学第一医院 ,北京市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,18,80,All,randomized-NP,This study was retrospective and did not involve randomized,Open label,
5,ChiCTR2400084810,World Health Organization Caregiver Skills Training (WHO-CST) intervention for children aged 2 to 6 years with MEF2C gene deficiency by remote medical mode: a single-arm pilot study,Interventional,NP,hospital/university,中山大学附属第三医院2023年临床研究专项基金（“启航计划”）资助项目,Adjunctive,Non-hospital,No,Management,"Mental, behavioural or neurodevelopmental disorders",Neurodevelopmental disorders associated with MEF2C gene defects,Single Group Assignment,（1）探讨基于远程医疗模式为MEF2C基因缺陷儿童实施世界卫生组织照顾者培训（WHO-CST）干预的可行性。 （2）通过建立MEF2C基因缺陷相关的神经发育障碍随访队列，对汉族人群MEF2C基因缺陷儿童的临床特征进行调查总结，获取患者干预前的基线数据，加深对该疾病的认识。,2024,19.66666667,1,30,中山大学附属第三医院（中山大学肝脏病医院） ,广东省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,2,6,All,NP,None,Open label,无
6,ChiCTR2400084205,Effectiveness of Remote Graded Motor Imagery Therapy for Patients with Central Sensitization Low Back Pain: Study Protocol for a Randomized Controlled Trial,Interventional,Early Phase 1,hospital/university,运动健身科技省部共建教育部重点实验室（上海体育大学）,Fully-automated,Non-hospital,No,Treatment,"Symptoms, signs or clinical findings, not elsewhere classified",Central Sensitization Low Back Pain,Parallel Assignment,观察远程分级运动想象治疗技术对中枢敏化下腰痛患者的疗效  ,2024,6.1,2,40,上海体育大学 ,上海市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,20,50,All,randomized-NP,computer generated random list,single(outcomes assessor),由于干预的性质，参与者无法盲性，但评估结果的研究人员将对参与者的分组情况保持盲性，以减少偏倚。
7,ChiCTR2400082683,Study on the Physical Activity of Post-PCI Patients using Family-Based Phase II Cardiac Telerehabilitation Gamification Program,Interventional,NP,self-fund,自筹,Guided,Non-hospital,No,Treatment,Diseases of the circulatory system,Post-PCI in coronary heart disease,Parallel Assignment,探讨在团队合作的游戏化中，竞争是促进身体活动更有效的游戏化元素； 探讨亲密的社会关系之间的合作能更好地促进患者身体活动的改善； 探讨基于家庭的II期远程心脏康复游戏化方案与传统的心脏康复相比具有成本效益。  ,2024,16.6,4,2400,吉大护理学院 ,吉林省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,18,90,All,randomized-NP,The researchers used Pythoon to generate random sequences for hierarchical randomization,single(outcomes assessor),开放标签，对评估者隐藏分组
8,ChiCTR2400081172,The effect of comprehensive exercise therapy via tele-rehabilitation on motor function in patients with chronic ankle instability,Interventional,Early Phase 1,self-fund,自筹,Fully-automated,Non-hospital,No,Treatment,Diseases of the musculoskeletal system or connective tissue,chronic ankle instability,Parallel Assignment,探究远程综合运动治疗对慢性踝关节不稳患者运动功能的影响。  ,2024,12.2,3,15,四川大学华西医院 ,四川省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,18,55,All,simple randomization,"Select participants who meet the inclusion criteria but do not have exclusion criteria, and number them one by one from 1 to 36 in the order of patient inclusion in the trial. Then use a computer to generate a sequence of random numbers, and fill the numbers in the sequence below the numbers in sequence. Sort the numbers in ascending order based on the size of the numbers below them. The first 12 digits are for the remote comprehensive training group, the middle 12 digits are for the outpatient comprehensive training group, and the last 12 digits are for the outpatient lower limb strength training group. Participants will be randomly assigned to the remote comprehensive training group, comprehensive training group, and outpatient lower limb strength training group in a 1:1:1 ratio.",single(outcomes assessor),本研究患者和治疗者都无法使用盲法，所以采用对评估者设盲的方式进行研究。所有患者在分组后，第一次运动治疗前都将在门诊由一位不知道他们分组的治疗师进行线下评估。干预结束时以及随访时，所有患者也都由这位治疗师进行评估。
9,ChiCTR2400081067,Application of telerehabilitation in functional rehabilitation on adolescent idiopathic scoliosis,Interventional,Phase 1,national government/fund,国家自然科学基金H0911-82071413,Fully-automated,Non-hospital,No,Management,Diseases of the musculoskeletal system or connective tissue,spinal disease-AIS,Parallel Assignment,1.探究远程康复对AIS功能恢复及生活质量的影响； 2.明确康复训练会使AIS患者的哪些生理指标产生变化，探讨患者功能恢复的生理机制。,2024,35.5,2,40,解放军总医院第四医学中心 ,北京市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,10,18,All,simple randomization,"Remote rehabilitation/telerehablitation and traditional face-to-face rehabilitation training were used as rehabilitation treatment options for the patients. By using a computer-based random number generator, patients were randomly assigned into the remote rehabilitation group and the traditional rehabilitation gro up.",Open label,分组方式为随机，不设盲。
10,ChiCTR2400080266,Implementation of Project ImPACT in autism spectrum disorders: a non-randomized controlled trial,Interventional,Early Phase 1,self-fund,博士研究生培养经费,Guided,Non-hospital,No,Treatment,"Mental, behavioural or neurodevelopmental disorders",Autism spectrum disorder,Single Group Assignment,该研究拟通过类实验研究——非随机对照设计，聚焦于6岁以下孤独症谱系障碍这一群体，对孤独症谱系障碍患儿和家长形成的亲子对进行Project ImPACT干预方案的实施，以验证该循证方案在国内实施的有效性和可实施性。,2023,13.2,1,300,佳木斯大学附属第三医院 ,黑龙江省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,0,6,All,NP,None,NP,
